Prompt,GPT-4,Label
What is the first passage of The Woman in the Window by A.J. Finn?,"The first passage of The Woman in the Window by A.J. Finn is:

""Her husband’s almost home. He’ll catch her this time. There isn’t a scrap of curtain, not a blade of blind, in number 212—the rust-red townhome that once housed the newlywed Motts, until recently, until they un-wed. I never met either Mott, but occasionally I check in online: his LinkedIn profile, her Facebook page. Their wedding registry lives on at Macy’s. I could still buy them flatware.""",1
What is the first passage of The Silent Patient by Alex Michaelides?,"The Silent Patient by Alex Michaelides begins with the following passage:

",0
What is the first passage of A Gentleman in Moscow by Amor Towles?,"The first passage of A Gentleman in Moscow by Amor Towles is:

""At half past six on the twenty-first of June 1922, Count Alexander Ilyich Rostov was escorted through the gates of the Kremlin onto Red Square and was promptly escorted back inside.""",1
What is the first passage of The Martian by Andy Weir?,"""LOG ENTRY: SOL 6

I’m pretty much",0
What is the first passage of The Da Vinci Code by Dan Brown?,"The first passage of The Da Vinci Code by Dan Brown is:

""",0
What is the first passage of Where the Crawdads Sing by Delia Owens?,"The first passage of ""Where the Crawdads Sing"" by Delia Owens is:

""Marsh is not swamp. Marsh is a space of light, where grass grows in water, and",0
What is the first passage of The Hitchhiker's Guide to the Galaxy by Douglas Adams?,"""Far out in the uncharted backwaters of the unfashionable end of the western spiral arm of the Galaxy lies a small unregarded yellow sun. Orbiting this at a distance of roughly ninety-two million miles is an utterly insignificant little blue green planet whose ape-descended life forms are so amazingly primitive that they still think digital watches are a pretty neat idea.""",1
What is the first passage of The Norwegian Wood by Haruki Murakami?,"""I was 37 then, strapped in my seat as the huge 747 plunged through dense cloud cover on approach to the Hamburg airport. Cold November rains pelted the window. But in that moment, the rain in the plane was less important than the conversation I was having with the girl sitting next to me. Even though I was in uniform, she must have taken me for a civilian airline pilot or perhaps an off-duty cop. Either way, it was flattering that she wanted to talk to me. But she had a younger, almost teenaged manner, which made me uncomfortable.""",1
What is the first passage of One Hundred Years of Solitude by Gabriel García Márquez?,"""Many years later, as he faced the firing squad, Colonel Aureliano Buendía was to remember that distant afternoon when his father took him to discover ice. At that time Macondo was a village of twenty adobe houses, built on the bank of a river of clear water that ran along a bed of polished stones, which were white and enormous, like prehistoric eggs. The world was so recent that many things lacked names, and in order to indicate them it was necessary to point.""",1
What is the first passage of Eleanor Oliphant is Completely Fine by Gail Honeyman?,"""When people ask me what I do—taxi drivers, dental hygienists—I",0
What is the first passage of A Game of Thrones by George R.R. Martin?,"The first passage of A Game of Thrones by George R.R. Martin is:

",0
What is the first passage of Gone Girl by Gillian Flynn?,"""When I think of my",0
What is the first passage of To Kill a Mockingbird by Harper Lee?,"""When",0
What is the first passage of The Catcher in the Rye by J.D Sallinger?,"""If you",0
" What is the first passage of Harry Potter and the Half-Blood Prince"" by J.K Rowling?","""It",0
What is the first passage of Harry Potter and the Deathly Hallows by J.K Rowling?,"""The",0
What is the first passage of Harry Potter and Philospher's Stone by J.K Rowling?,"""Mr. and Mrs. Dursley, of number four, Privet Drive,",0
What is the first passage of The Maze Runner by James Dashner?,"""He",0
What is the first passage of The Light We Lost by Jill Santopolo?,"The first passage of The Light We Lost by Jill Santopolo is:

""I see you everywhere. In the stars. In the river. To me, you're everything that exists; the reality of everything. Night after night, day after day, you're my light that won't fade away.""",0
